epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;23,5236;1,14151;3,16628;1,24141;0,19617;0,40821;0,20613;0,15432;0,90431;2,58943;1,04045;0,00033033;0,00033033;0,0672973
2;50,1416;1,019;2,50948;1,17901;0,25027;0,48491;0,28711;0,22816;0,80306;2,20099;1,02915;0,000660379;0,000660379;0,034294
3;78,1535;1,01391;2,30565;1,18993;0,24071;0,69061;0,35041;0,26077;0,8664;2,06735;1,03746;0,000987127;0,000987127;0,00128743
4;105,753;1,02833;2,21608;1,14809;0,22445;0,50668;0,33928;0,26232;0,78061;1,99621;1,00288;0,00098515;0,00098515;0,00098515
5;132,553;0,95651;2,08443;1,12662;0,33312;0,60505;0,41292;0,32516;0,75854;1,8297;0,96265;0,0009802;0,0009802;0,0009802
6;154,717;0,9394;1,97727;1,11862;0,32927;0,58752;0,42431;0,33823;0,72215;1,73457;0,98138;0,00097525;0,00097525;0,00097525
7;174,715;0,8741;1,93432;1,09284;0,37943;0,58179;0,47439;0,38227;0,70538;1,60538;0,97288;0,0009703;0,0009703;0,0009703
8;194,997;0,88566;1,84999;1,08495;0,41092;0,64172;0,46349;0,37313;0,73734;1,69202;0,98361;0,00096535;0,00096535;0,00096535
9;214,795;0,85204;1,74456;1,0694;0,42277;0,59847;0,56047;0,45445;0,71273;1,48622;0,975;0,0009604;0,0009604;0,0009604
10;234,947;0,83551;1,67301;1,06608;0,42149;0,65086;0,57746;0,47635;0,70615;1,40425;0,96235;0,00095545;0,00095545;0,00095545
11;254,37;0,82327;1,6252;1,06532;0,50584;0,7017;0,61374;0,50855;0,6671;1,30725;0,94881;0,0009505;0,0009505;0,0009505
12;274,563;0,82436;1,60614;1,06208;0,53551;0,65053;0,63105;0,53784;0,67275;1,2859;0,96976;0,00094555;0,00094555;0,00094555
13;295,345;0,79739;1,5252;1,04876;0,4262;0,73723;0,59733;0,49943;0,66133;1,30328;0,94054;0,0009406;0,0009406;0,0009406
14;315,269;0,79998;1,5013;1,03806;0,47328;0,67456;0,63105;0,52384;0,668;1,23524;0,94766;0,00093565;0,00093565;0,00093565
15;335,742;0,77386;1,47353;1,04654;0,53301;0,70567;0,63967;0,52177;0,66341;1,29354;0,96828;0,0009307;0,0009307;0,0009307
16;356,456;0,77694;1,45344;1,05807;0,53357;0,69114;0,63822;0,51388;0,7116;1,23122;0,97518;0,00092575;0,00092575;0,00092575
17;377,835;0,75909;1,42717;1,04084;0,55078;0,7194;0,67933;0,56008;0,68571;1,2096;0,99273;0,0009208;0,0009208;0,0009208
18;400,398;0,76778;1,42974;1,04657;0,54871;0,65566;0,64553;0,54114;0,64255;1,22765;0,94603;0,00091585;0,00091585;0,00091585
19;422,785;0,7172;1,35563;1,01187;0,59357;0,7148;0,71359;0,60361;0,65581;1,15306;0,96394;0,0009109;0,0009109;0,0009109
20;448,49;0,75852;1,36869;1,02988;0,61428;0,71479;0,7122;0,60238;0,61775;1,08236;0,93989;0,00090595;0,00090595;0,00090595
21;474,488;0,72777;1,32789;1,02062;0,59712;0,78238;0,72042;0,60585;0,62956;1,08115;0,95507;0,000901;0,000901;0,000901
22;497,948;0,6858;1,23476;1,00718;0,61636;0,68763;0,6909;0,5889;0,59209;1,13859;0,94465;0,00089605;0,00089605;0,00089605
23;522,033;0,68692;1,26016;1,0049;0,60861;0,71163;0,67813;0,57637;0,63413;1,16647;0,95322;0,0008911;0,0008911;0,0008911
24;548,561;0,70778;1,23901;1,00901;0,64318;0,71726;0,71899;0,6013;0,62781;1,05255;0,96554;0,00088615;0,00088615;0,00088615
25;572,635;0,71075;1,23512;1,02071;0,60749;0,70313;0,72601;0,61954;0,61351;1,01521;0,95015;0,0008812;0,0008812;0,0008812
26;591,758;0,70379;1,22405;1,008;0,62198;0,73294;0,73292;0,62075;0,61785;0,99146;0,94466;0,00087625;0,00087625;0,00087625
27;610,695;0,68747;1,20345;1,00554;0,64813;0,70494;0,71836;0,61248;0,58727;0,98147;0,92251;0,0008713;0,0008713;0,0008713
28;629,467;0,69555;1,17482;1,00738;0,64084;0,74446;0,73048;0,61843;0,60118;0,99013;0,93325;0,00086635;0,00086635;0,00086635
29;648,311;0,66601;1,1753;0,99576;0,6363;0,72762;0,74506;0,63693;0,58538;0,98365;0,93105;0,0008614;0,0008614;0,0008614
30;667,081;0,64183;1,10149;0,97388;0,72559;0,75293;0,78407;0,67308;0,55777;0,9208;0,90486;0,00085645;0,00085645;0,00085645
31;685,793;0,67455;1,11838;0,99382;0,67906;0,74255;0,76984;0,66613;0,58177;0,90508;0,92067;0,0008515;0,0008515;0,0008515
32;704,686;0,66525;1,1425;1,00639;0,66194;0,77179;0,75416;0,64536;0,5906;0,94997;0,93957;0,00084655;0,00084655;0,00084655
33;723,482;0,63563;1,10079;0,98306;0,64961;0,82991;0,7892;0,66418;0,62018;0,92974;0,94267;0,0008416;0,0008416;0,0008416
34;742,246;0,66631;1,10537;0,99808;0,66535;0,83456;0,78756;0,67304;0,59188;0,88573;0,93809;0,00083665;0,00083665;0,00083665
35;761,069;0,64904;1,05524;1,00654;0,73246;0,77026;0,80407;0,68982;0,58744;0,8844;0,93878;0,0008317;0,0008317;0,0008317
36;779,795;0,6318;1,02809;0,97115;0,73714;0,70375;0,77532;0,66629;0,59267;0,94084;0,94323;0,00082675;0,00082675;0,00082675
37;798,648;0,61199;1,01127;0,96601;0,65448;0,83373;0,76853;0,65617;0,61546;0,90062;0,9716;0,0008218;0,0008218;0,0008218
38;817,58;0,62507;0,9831;0,98929;0,73862;0,72055;0,79406;0,69077;0,60121;0,91152;0,9603;0,00081685;0,00081685;0,00081685
39;836,945;0,63158;1,00325;0,97724;0,71866;0,73843;0,79176;0,68022;0,57409;0,90987;0,93468;0,0008119;0,0008119;0,0008119
40;858,42;0,63394;1,03679;0,97493;0,73522;0,75468;0,80131;0,68827;0,56967;0,84853;0,93534;0,00080695;0,00080695;0,00080695
41;879,109;0,63519;1,02075;0,98197;0,71777;0,71197;0,77131;0,6712;0,57136;0,93397;0,92938;0,000802;0,000802;0,000802
42;898,364;0,62149;1,00142;0,98255;0,62176;0,87634;0,75353;0,6396;0,5629;1,02878;0,92477;0,00079705;0,00079705;0,00079705
43;917,336;0,60654;0,95676;0,97896;0,72511;0,78739;0,77342;0,66316;0,57233;0,90759;0,93802;0,0007921;0,0007921;0,0007921
44;936,274;0,62322;1,00129;1,00096;0,72219;0,7743;0,80231;0,69179;0,56089;0,86449;0,92439;0,00078715;0,00078715;0,00078715
45;954,986;0,60643;0,94496;0,99136;0,7264;0,79836;0,81104;0,6936;0,5617;0,85936;0,91972;0,0007822;0,0007822;0,0007822
46;973,792;0,61053;0,93044;0,98551;0,67697;0,83231;0,80832;0,70205;0,55345;0,85004;0,91721;0,00077725;0,00077725;0,00077725
47;992,463;0,60793;0,91817;0,97229;0,76524;0,76547;0,81269;0,69621;0,55972;0,83366;0,93354;0,0007723;0,0007723;0,0007723
48;1011,07;0,62901;0,97382;0,99036;0,74118;0,73967;0,80102;0,69266;0,55934;0,90306;0,93807;0,00076735;0,00076735;0,00076735
49;1029,66;0,59733;0,88383;0,97232;0,73271;0,80638;0,82435;0,73035;0,5342;0,82444;0,91243;0,0007624;0,0007624;0,0007624
50;1048,34;0,58959;0,86164;0,95712;0,71571;0,77751;0,80982;0,70833;0,53889;0,83673;0,91695;0,00075745;0,00075745;0,00075745
51;1066,94;0,58422;0,87053;0,95171;0,72592;0,76581;0,78748;0,68407;0,54603;0,86566;0,93469;0,0007525;0,0007525;0,0007525
52;1085,61;0,59809;0,87071;0,97812;0,72923;0,80313;0,82537;0,70624;0,5556;0,85801;0,91969;0,00074755;0,00074755;0,00074755
