epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,45.9803,0.65297,7.18947,0.00808,0.24328,0.40258,0.22488,0.19885,0.47459,2.03179,0.00659,0.00590323,0.00196774,0.00590323,0.00196774,0.0862258,0.0822903,0.00590323,0.00196774
2,70.99,0.55123,2.3357,0.00652,0.30505,0.43666,0.3421,0.28657,0.53401,2.08267,0.00805,0.0118696,0.00395652,0.0118696,0.00395652,0.0721921,0.0642791,0.0118696,0.00395652
3,95.9422,0.55428,1.6164,0.00664,0.3803,0.62,0.52868,0.45397,0.54612,1.51869,0.00745,0.0178019,0.00593398,0.0178019,0.00593398,0.0581245,0.0462566,0.0178019,0.00593398
4,126.116,0.57749,1.4927,0.00698,0.54465,0.55913,0.59396,0.49636,0.6311,1.35764,0.00898,0.0237004,0.00790013,0.0237004,0.00790013,0.044023,0.0282227,0.0237004,0.00790013
5,151.158,0.63307,1.35223,0.00758,0.45178,0.51697,0.39995,0.3439,0.59807,2.08695,0.00885,0.0295649,0.00985496,0.0295649,0.00985496,0.0298875,0.0101775,0.0295649,0.00985496
6,172.233,0.70655,1.36161,0.00859,0.50946,0.59275,0.5581,0.43773,0.81572,1.52925,0.01266,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857,0.0295757,0.00985857
7,192.807,0.75236,1.22913,0.00924,0.58361,0.57182,0.62508,0.49283,0.7881,1.32597,0.01216,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029,0.0294909,0.00983029
8,214.279,0.74807,1.06638,0.0092,0.49993,0.64103,0.6504,0.55892,0.65795,1.22741,0.00922,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
9,238.97,0.76463,1.12981,0.00981,0.46506,0.76561,0.68154,0.56469,0.69686,1.08746,0.01035,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371,0.0293211,0.00977371
10,265.161,0.78434,1.13542,0.01011,0.64278,0.56364,0.63711,0.53182,0.62563,1.4331,0.00898,0.0292363,0.00974543,0.0292363,0.00974543,0.0292363,0.00974543,0.0292363,0.00974543
11,290.646,0.7533,1.07257,0.00951,0.61638,0.6997,0.75374,0.62885,0.67883,1.00366,0.00998,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714,0.0291514,0.00971714
12,316.496,0.7335,0.94617,0.00917,0.60643,0.59222,0.64935,0.54563,0.73029,1.23503,0.01042,0.0290666,0.00968886,0.0290666,0.00968886,0.0290666,0.00968886,0.0290666,0.00968886
13,341.702,0.72953,0.9531,0.00914,0.4891,0.79154,0.73747,0.61462,0.76192,1.13006,0.01148,0.0289817,0.00966057,0.0289817,0.00966057,0.0289817,0.00966057,0.0289817,0.00966057
14,368.112,0.73304,0.86019,0.00934,0.6709,0.74907,0.7485,0.62404,0.74318,1.02283,0.01029,0.0288969,0.00963229,0.0288969,0.00963229,0.0288969,0.00963229,0.0288969,0.00963229
15,393.736,0.7175,0.89645,0.00922,0.73532,0.59391,0.7157,0.5944,0.69123,1.10321,0.00989,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
16,418.803,0.68752,0.79276,0.00864,0.62524,0.60351,0.68937,0.57492,0.68836,1.23848,0.01029,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571,0.0287271,0.00957571
17,443.823,0.67866,0.80833,0.00847,0.62648,0.79529,0.77474,0.6812,0.58245,0.86693,0.00786,0.0286423,0.00954743,0.0286423,0.00954743,0.0286423,0.00954743,0.0286423,0.00954743
18,469.1,0.69596,0.79918,0.00888,0.57696,0.73557,0.71549,0.63082,0.62808,1.14367,0.00919,0.0285574,0.00951914,0.0285574,0.00951914,0.0285574,0.00951914,0.0285574,0.00951914
19,494.453,0.69137,0.85092,0.00855,0.69876,0.71653,0.78351,0.67257,0.64221,0.83722,0.00887,0.0284726,0.00949086,0.0284726,0.00949086,0.0284726,0.00949086,0.0284726,0.00949086
20,519.327,0.64877,0.76836,0.00778,0.73052,0.64392,0.78131,0.65811,0.68161,0.85197,0.00994,0.0283877,0.00946257,0.0283877,0.00946257,0.0283877,0.00946257,0.0283877,0.00946257
21,544.269,0.67953,0.76307,0.00814,0.57398,0.69491,0.68478,0.56732,0.74686,1.13541,0.01102,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429,0.0283029,0.00943429
