epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7027,1.33101,6.18614,0.01714,0.22393,0.11395,0.05006,0.02393,1.77256,3.63277,0.02842,0.00196774,0.00196774,0.0822903
2,43.3335,1.48515,3.08852,0.01972,0.24262,0.11091,0.05785,0.02727,1.67765,3.58694,0.02725,0.00395652,0.00395652,0.0642791
3,58.0259,1.49211,2.86414,0.01994,0.08607,0.16035,0.07778,0.04661,1.64326,3.44737,0.02704,0.00593398,0.00593398,0.0462566
4,72.5733,1.50344,2.75301,0.01999,0.19427,0.20838,0.17956,0.08824,1.6483,2.84002,0.02644,0.00790013,0.00790013,0.0282227
5,86.948,1.57306,2.47225,0.02091,0.1944,0.26451,0.15455,0.08467,1.75505,2.97519,0.02698,0.00985496,0.00985496,0.0101775
6,101.51,1.56359,2.42031,0.02024,0.33061,0.29544,0.31243,0.20191,1.40764,2.47073,0.02148,0.00985857,0.00985857,0.00985857
7,116.428,1.45945,2.20009,0.01872,0.17585,0.43309,0.24092,0.13947,1.62526,2.41555,0.02712,0.00983029,0.00983029,0.00983029
8,131.315,1.4497,2.19097,0.01958,0.33691,0.39975,0.34308,0.20475,1.5114,2.34391,0.02345,0.009802,0.009802,0.009802
9,144.697,1.46284,2.16655,0.02017,0.25547,0.43362,0.27576,0.18164,1.42283,2.18323,0.0233,0.00977371,0.00977371,0.00977371
10,158.549,1.33757,2.07996,0.01806,0.48645,0.32112,0.30898,0.19247,1.39722,2.41426,0.02231,0.00974543,0.00974543,0.00974543
11,172.671,1.31833,1.96068,0.01813,0.24864,0.51323,0.36791,0.24284,1.28855,1.95527,0.02072,0.00971714,0.00971714,0.00971714
12,186.956,1.27879,1.87004,0.01697,0.22454,0.52475,0.33887,0.21288,1.27657,1.9939,0.0205,0.00968886,0.00968886,0.00968886
13,201.187,1.30133,1.79511,0.01743,0.37115,0.40685,0.40218,0.28479,1.19163,1.77382,0.01816,0.00966057,0.00966057,0.00966057
14,215.363,1.3918,1.83838,0.0191,0.45203,0.52801,0.48475,0.3304,1.30198,1.61815,0.0193,0.00963229,0.00963229,0.00963229
15,230.598,1.34559,1.75071,0.01872,0.40666,0.48593,0.4514,0.30987,1.296,1.67551,0.01931,0.009604,0.009604,0.009604
16,247.546,1.28647,1.74879,0.01715,0.48882,0.51106,0.47433,0.33981,1.19726,1.69211,0.01931,0.00957571,0.00957571,0.00957571
17,265.39,1.21403,1.66685,0.01634,0.38576,0.43844,0.41843,0.29085,1.36303,2.0971,0.02021,0.00954743,0.00954743,0.00954743
18,282.756,1.25591,1.57608,0.01705,0.38122,0.61997,0.50102,0.33074,1.37262,1.50419,0.02206,0.00951914,0.00951914,0.00951914
19,300.229,1.28818,1.55379,0.01732,0.40268,0.5421,0.46775,0.31905,1.27383,1.89783,0.02092,0.00949086,0.00949086,0.00949086
20,316.526,1.23229,1.56843,0.01599,0.50026,0.56865,0.54455,0.39434,1.10701,1.39628,0.01711,0.00946257,0.00946257,0.00946257
21,333.123,1.18556,1.54172,0.01545,0.47533,0.4649,0.51309,0.35101,1.23906,1.61598,0.02088,0.00943429,0.00943429,0.00943429
22,349.315,1.12236,1.48848,0.01504,0.31973,0.52223,0.45794,0.33875,1.11644,1.51425,0.01708,0.009406,0.009406,0.009406
23,365.627,1.08626,1.4619,0.01459,0.4709,0.62508,0.57811,0.42224,1.15516,1.33365,0.01713,0.00937771,0.00937771,0.00937771
24,381.907,1.18662,1.45368,0.01553,0.45246,0.63016,0.55863,0.42895,1.02281,1.34883,0.01579,0.00934943,0.00934943,0.00934943
25,398.192,1.13577,1.41317,0.01474,0.49358,0.62123,0.57629,0.42399,1.1005,1.33351,0.01666,0.00932114,0.00932114,0.00932114
26,414.411,1.10526,1.37569,0.01421,0.43651,0.60042,0.56823,0.42828,1.0739,1.45399,0.01719,0.00929286,0.00929286,0.00929286
27,430.483,1.13799,1.40316,0.01528,0.46953,0.61404,0.59012,0.45451,1.01815,1.25888,0.01642,0.00926457,0.00926457,0.00926457
28,448.119,1.07617,1.39118,0.01431,0.64132,0.56112,0.65194,0.50961,0.98087,1.30121,0.01474,0.00923629,0.00923629,0.00923629
29,465.16,1.00188,1.28069,0.01325,0.51875,0.41587,0.50855,0.38085,1.08759,1.54693,0.01687,0.009208,0.009208,0.009208
30,483.342,1.08593,1.29625,0.01378,0.50177,0.63278,0.60014,0.45053,1.00973,1.34158,0.01607,0.00917971,0.00917971,0.00917971
31,498.221,1.08018,1.33816,0.01462,0.62547,0.58178,0.66359,0.52341,1.01794,1.24073,0.01547,0.00915143,0.00915143,0.00915143
32,510.741,1.0318,1.26454,0.01319,0.44372,0.65039,0.56689,0.45011,0.98459,1.32301,0.01482,0.00912314,0.00912314,0.00912314
33,523.35,1.02804,1.28309,0.0137,0.53795,0.65498,0.64244,0.52963,0.81086,1.17617,0.01238,0.00909486,0.00909486,0.00909486
34,535.937,0.95115,1.1967,0.01263,0.58846,0.67332,0.71821,0.57771,0.87938,1.11269,0.0132,0.00906657,0.00906657,0.00906657
35,548.516,0.98821,1.21148,0.01336,0.48879,0.67058,0.63325,0.46708,1.08235,1.23333,0.01779,0.00903829,0.00903829,0.00903829
36,561.038,1.05699,1.27741,0.01406,0.74515,0.4902,0.65586,0.52531,0.90403,1.20187,0.01362,0.00901,0.00901,0.00901
37,573.588,0.94109,1.14654,0.01228,0.54415,0.60145,0.64718,0.5261,0.88279,1.18554,0.0136,0.00898171,0.00898171,0.00898171
38,586.165,1.01663,1.22179,0.01312,0.48308,0.6514,0.61085,0.46514,1.06731,1.24328,0.01654,0.00895343,0.00895343,0.00895343
39,599.858,1.00394,1.24983,0.01308,0.67968,0.59495,0.69464,0.55934,0.83772,1.15149,0.01284,0.00892514,0.00892514,0.00892514
40,614.39,0.93202,1.21316,0.01202,0.53028,0.71665,0.71137,0.58022,0.83884,1.15014,0.01199,0.00889686,0.00889686,0.00889686
41,627.859,0.9864,1.18736,0.01293,0.55396,0.71965,0.71855,0.55746,0.95393,1.14028,0.01495,0.00886857,0.00886857,0.00886857
42,640.371,1.026,1.1934,0.0136,0.62026,0.67815,0.73178,0.58122,0.9052,1.106,0.01373,0.00884029,0.00884029,0.00884029
43,652.897,0.98048,1.16577,0.01234,0.55147,0.69444,0.66921,0.54446,0.80306,1.09594,0.0118,0.008812,0.008812,0.008812
44,665.369,0.94256,1.08528,0.01273,0.65198,0.7155,0.73128,0.56687,0.90664,1.00458,0.01358,0.00878371,0.00878371,0.00878371
