epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
1;29,831;1,63366;10,8034;0,02286;0,01958;0,17878;0,01598;0,00307;2,34239;24,1069;0,03915;0,00197015;0,00197015;0,0822687
2;59,0398;1,9555;3,57485;0,02722;0;0;0;0;nan;nan;nan;0,00395892;0,00395892;0,0642574
3;88,672;1,94623;3,39868;0,0273;0,04173;0,11834;0,02637;0,00647;2,94969;5,69656;0,04986;0,00593638;0,00593638;0,0462349
4;119,209;1,79334;3,10706;0,02482;0,26522;0,13571;0,0599;0,02;2,22507;4,16869;0,03921;0,00790252;0,00790252;0,028201
5;185,347;1,82416;2,81065;0,02483;0,22556;0,29865;0,11427;0,04187;2,24886;3,65109;0,03667;0,00985734;0,00985734;0,0101559
6;211,886;1,76246;2,61998;0,02427;0,00725;0,01852;0,00736;0,00183;2,63863;6,59375;0,04647;0,00985857;0,00985857;0,00985857
7;245,968;1,76841;2,58025;0,0244;0,15565;0,27621;0,11177;0,05948;2,08809;3,30789;0,03487;0,00983029;0,00983029;0,00983029
8;297,256;1,66239;2,48218;0,02352;0,30767;0,43085;0,31694;0,18818;1,6113;2,09478;0,02403;0,009802;0,009802;0,009802
9;330,345;1,67988;2,31063;0,02378;0,23614;0,43185;0,29208;0,19796;1,35458;2,24991;0,02043;0,00977371;0,00977371;0,00977371
10;352,022;1,53497;2,26172;0,02101;0,29522;0,38695;0,24253;0,1536;1,60397;2,39271;0,02562;0,00974543;0,00974543;0,00974543
11;395,176;1,53906;2,13198;0,02161;0,27844;0,50091;0,3278;0,18754;1,71053;2,19292;0,02547;0,00971714;0,00971714;0,00971714
12;462,854;1,53882;2,21122;0,02144;0,24203;0,34032;0,27642;0,15262;1,52048;2,23729;0,02401;0,00968886;0,00968886;0,00968886
13;509,165;1,44297;2,06212;0,01952;0,40218;0,49105;0,3587;0,22253;1,59038;2,06125;0,02536;0,00966057;0,00966057;0,00966057
14;559,866;1,45385;1,98144;0,0199;0,33201;0,54798;0,43269;0,2976;1,35241;1,92539;0,02056;0,00963229;0,00963229;0,00963229
15;610,249;1,3929;1,9225;0,01902;0,35274;0,58167;0,43024;0,29033;1,34146;2,06086;0,01986;0,009604;0,009604;0,009604
16;651,612;1,34828;1,87783;0,01842;0,37847;0,5743;0,48775;0,30813;1,46069;1,69314;0,02108;0,00957571;0,00957571;0,00957571
17;702,265;1,37865;1,88929;0,01892;0,38372;0,54226;0,50601;0,35388;1,34981;1,50907;0,01924;0,00954743;0,00954743;0,00954743
