epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2748,1.09959,3.28675,1.26385,0.02967,0.85693,0.15664,0.11259,0.87669,3.08629,1.0492,0.000327381,0.000327381,0.0675893
2,17.2145,1.02613,2.43195,1.18793,0.27108,0.43898,0.34562,0.26768,0.84149,2.11887,1.05222,0.00066006,0.00066006,0.0345886
3,24.1779,0.9576,2.21789,1.14613,0.26601,0.55615,0.37518,0.28997,0.82605,1.82873,1.04624,0.000992079,0.000992079,0.00158732
4,31.0567,0.97016,2.10654,1.16025,0.30948,0.57159,0.39706,0.30926,0.75344,2.05405,1.00359,0.00099703,0.00099703,0.00099703
5,38.0687,0.92036,1.98641,1.13058,0.39099,0.52948,0.45801,0.36677,0.75216,1.71924,0.98603,0.00099604,0.00099604,0.00099604
6,44.9305,0.88994,1.85628,1.10195,0.3603,0.56356,0.4696,0.37978,0.74297,1.58841,1.00142,0.00099505,0.00099505,0.00099505
7,51.3485,0.88314,1.80471,1.09544,0.40366,0.72475,0.53483,0.43067,0.72354,1.49487,0.96876,0.00099406,0.00099406,0.00099406
8,57.4296,0.82972,1.71036,1.06901,0.43688,0.71761,0.53418,0.432,0.71605,1.46622,0.98413,0.00099307,0.00099307,0.00099307
9,64.5498,0.83948,1.67602,1.08856,0.42413,0.59642,0.54744,0.44636,0.69085,1.43983,0.97888,0.00099208,0.00099208,0.00099208
10,71.6097,0.81646,1.56642,1.07395,0.46478,0.69616,0.63061,0.52759,0.67775,1.29177,0.99981,0.00099109,0.00099109,0.00099109
11,78.5546,0.80617,1.53486,1.08349,0.49366,0.67758,0.60296,0.50085,0.69477,1.30898,1.02166,0.0009901,0.0009901,0.0009901
12,85.285,0.77715,1.47847,1.04678,0.55243,0.70057,0.64436,0.53569,0.69641,1.19399,1.02096,0.00098911,0.00098911,0.00098911
13,92.5321,0.74942,1.39301,1.02604,0.59763,0.66548,0.66895,0.5651,0.65951,1.12814,0.97966,0.00098812,0.00098812,0.00098812
14,99.8253,0.75628,1.42234,1.0532,0.43777,0.84163,0.62394,0.52237,0.64587,1.20481,0.94933,0.00098713,0.00098713,0.00098713
15,106.81,0.74393,1.36556,1.03178,0.5036,0.7329,0.64065,0.54401,0.62449,1.17479,0.94948,0.00098614,0.00098614,0.00098614
16,113.725,0.74688,1.34956,1.04567,0.52434,0.74192,0.62812,0.52295,0.68114,1.20801,1.01435,0.00098515,0.00098515,0.00098515
17,120.749,0.7084,1.29409,1.02011,0.5822,0.7712,0.70925,0.59174,0.64288,1.1109,0.97049,0.00098416,0.00098416,0.00098416
18,127.686,0.73615,1.28398,1.02796,0.63164,0.70189,0.72265,0.6157,0.63725,1.09942,0.95443,0.00098317,0.00098317,0.00098317
19,134.652,0.72037,1.27769,1.03409,0.67267,0.71775,0.73595,0.62029,0.62614,1.07311,0.95652,0.00098218,0.00098218,0.00098218
20,141.602,0.69168,1.22561,1.02248,0.65044,0.63274,0.70591,0.60492,0.61024,1.17682,0.94623,0.00098119,0.00098119,0.00098119
21,148.402,0.70453,1.18678,1.03006,0.66917,0.67427,0.74721,0.63887,0.62965,1.07483,0.96953,0.0009802,0.0009802,0.0009802
22,154.124,0.70519,1.20352,1.0222,0.61922,0.70008,0.72363,0.61745,0.6296,1.03365,0.9496,0.00097921,0.00097921,0.00097921
23,159.838,0.68427,1.14906,1.02316,0.6868,0.72893,0.73799,0.64172,0.57945,1.04089,0.94755,0.00097822,0.00097822,0.00097822
24,165.522,0.69341,1.12944,1.01783,0.66435,0.70662,0.74851,0.63818,0.61193,1.02395,0.96907,0.00097723,0.00097723,0.00097723
25,171.226,0.68391,1.08234,1.00814,0.63793,0.79251,0.773,0.66429,0.57093,0.92493,0.93905,0.00097624,0.00097624,0.00097624
26,177.038,0.66852,1.08402,0.99854,0.71602,0.80499,0.79893,0.67883,0.61446,0.88682,0.96631,0.00097525,0.00097525,0.00097525
27,182.798,0.67231,1.07147,1.01621,0.69813,0.76773,0.75028,0.64049,0.60373,0.9333,0.96083,0.00097426,0.00097426,0.00097426
28,188.523,0.67201,1.09454,1.02036,0.63488,0.76696,0.71968,0.60307,0.59956,1.00012,0.94651,0.00097327,0.00097327,0.00097327
29,194.242,0.66387,1.07744,1.00027,0.7038,0.7547,0.75134,0.63117,0.61124,0.9789,0.95437,0.00097228,0.00097228,0.00097228
30,199.97,0.6569,1.03331,0.99437,0.74165,0.7196,0.78132,0.66776,0.59904,0.92164,0.95143,0.00097129,0.00097129,0.00097129
31,205.651,0.64036,1.01338,0.99816,0.68928,0.71551,0.77542,0.6584,0.61042,0.92819,0.9519,0.0009703,0.0009703,0.0009703
32,211.334,0.67378,1.0558,1.00411,0.59779,0.79217,0.76107,0.64448,0.60295,1.00194,0.94177,0.00096931,0.00096931,0.00096931
33,217.02,0.63204,1.02171,0.98978,0.6956,0.76788,0.77805,0.66688,0.59741,0.92923,0.95366,0.00096832,0.00096832,0.00096832
34,222.735,0.64083,0.97876,0.98576,0.73868,0.77174,0.79085,0.6755,0.6156,0.89303,0.9563,0.00096733,0.00096733,0.00096733
35,228.461,0.6281,0.97812,0.98163,0.68596,0.79108,0.78745,0.68691,0.58171,0.84267,0.96305,0.00096634,0.00096634,0.00096634
36,234.216,0.63706,0.95435,0.9816,0.71094,0.80483,0.79185,0.67328,0.59115,0.90146,0.95598,0.00096535,0.00096535,0.00096535
37,239.951,0.63893,0.95052,0.97837,0.71272,0.77101,0.8086,0.68522,0.61986,0.90783,0.95288,0.00096436,0.00096436,0.00096436
38,245.683,0.60193,0.91605,0.97084,0.72122,0.73087,0.78296,0.66353,0.6329,0.9255,0.95769,0.00096337,0.00096337,0.00096337
39,251.386,0.64559,0.96809,0.99646,0.69556,0.76696,0.79088,0.68272,0.59947,0.90138,0.97046,0.00096238,0.00096238,0.00096238
40,257.099,0.64848,0.94459,1.00622,0.72732,0.70587,0.78862,0.68096,0.59062,0.87376,0.95579,0.00096139,0.00096139,0.00096139
41,262.829,0.61972,0.8753,0.97842,0.74671,0.71504,0.78064,0.67394,0.59065,0.90148,0.96301,0.0009604,0.0009604,0.0009604
42,268.537,0.61381,0.88809,0.97772,0.72706,0.7629,0.8072,0.69688,0.59428,0.84723,0.96466,0.00095941,0.00095941,0.00095941
43,274.295,0.62676,0.92053,0.99687,0.73635,0.74931,0.79093,0.6886,0.58747,0.86984,0.96773,0.00095842,0.00095842,0.00095842
44,280.038,0.60063,0.88821,0.97339,0.74395,0.76275,0.81984,0.69831,0.58913,0.80636,0.96347,0.00095743,0.00095743,0.00095743
45,285.778,0.60221,0.87046,0.97441,0.75877,0.83775,0.83878,0.73057,0.57763,0.81143,0.94936,0.00095644,0.00095644,0.00095644
46,291.502,0.59839,0.86456,0.97386,0.71754,0.79253,0.82486,0.7166,0.58365,0.8848,0.93718,0.00095545,0.00095545,0.00095545
47,297.252,0.61081,0.84313,0.97744,0.79304,0.79217,0.85448,0.7542,0.55667,0.75145,0.94664,0.00095446,0.00095446,0.00095446
48,302.993,0.62567,0.84166,0.99565,0.69061,0.85335,0.82977,0.71131,0.57141,0.90003,0.942,0.00095347,0.00095347,0.00095347
49,308.766,0.59905,0.85032,0.96832,0.78433,0.7944,0.83818,0.72816,0.56963,0.78401,0.93989,0.00095248,0.00095248,0.00095248
50,314.49,0.59628,0.8344,0.96705,0.74479,0.787,0.83845,0.72237,0.56678,0.81109,0.94176,0.00095149,0.00095149,0.00095149
51,320.21,0.5657,0.817,0.94682,0.69597,0.77589,0.8064,0.6777,0.6191,0.82676,0.97842,0.0009505,0.0009505,0.0009505
52,325.942,0.58181,0.84272,0.96875,0.73555,0.77452,0.80325,0.67571,0.61239,0.83203,0.96971,0.00094951,0.00094951,0.00094951
53,331.671,0.57249,0.77837,0.96444,0.67286,0.78951,0.80105,0.67228,0.61152,0.86515,0.96675,0.00094852,0.00094852,0.00094852
54,337.398,0.60056,0.85371,0.98371,0.78671,0.76545,0.82689,0.71728,0.57211,0.79469,0.94048,0.00094753,0.00094753,0.00094753
55,343.124,0.57099,0.79291,0.9676,0.72721,0.77091,0.8059,0.69354,0.55765,0.84639,0.93083,0.00094654,0.00094654,0.00094654
56,348.846,0.56238,0.79081,0.96615,0.68802,0.7986,0.80889,0.70755,0.54849,0.81854,0.92798,0.00094555,0.00094555,0.00094555
57,354.575,0.59745,0.79434,0.98263,0.76132,0.78251,0.82007,0.71036,0.5732,0.78598,0.96533,0.00094456,0.00094456,0.00094456
58,360.304,0.5838,0.80068,0.9712,0.79938,0.77528,0.85507,0.74484,0.55234,0.77081,0.93943,0.00094357,0.00094357,0.00094357
59,366.026,0.56056,0.76002,0.96009,0.75168,0.78474,0.80771,0.69399,0.58093,0.85401,0.95544,0.00094258,0.00094258,0.00094258
60,371.722,0.56629,0.7767,0.95941,0.7411,0.81982,0.84978,0.74196,0.55872,0.75444,0.93514,0.00094159,0.00094159,0.00094159
61,377.443,0.59352,0.81261,0.96214,0.87522,0.746,0.86489,0.75235,0.5566,0.7705,0.94789,0.0009406,0.0009406,0.0009406
62,383.168,0.5584,0.79346,0.95106,0.73862,0.80974,0.82527,0.70778,0.59039,0.811,0.9667,0.00093961,0.00093961,0.00093961
63,388.909,0.58186,0.79167,0.97295,0.76157,0.8326,0.85014,0.72858,0.55188,0.78204,0.95121,0.00093862,0.00093862,0.00093862
64,394.653,0.6041,0.8137,0.98611,0.76964,0.80118,0.82953,0.70465,0.59981,0.79851,0.95856,0.00093763,0.00093763,0.00093763
65,400.411,0.58599,0.77402,0.96298,0.76279,0.77952,0.86568,0.75069,0.56555,0.74215,0.94107,0.00093664,0.00093664,0.00093664
66,406.111,0.57129,0.73226,0.96698,0.8756,0.72893,0.85404,0.73846,0.54636,0.78084,0.95145,0.00093565,0.00093565,0.00093565
67,411.826,0.6051,0.78342,0.98763,0.80494,0.74855,0.82837,0.72154,0.54034,0.82309,0.92461,0.00093466,0.00093466,0.00093466
68,417.661,0.57597,0.76178,0.96701,0.80849,0.74577,0.82805,0.7329,0.52807,0.77658,0.92535,0.00093367,0.00093367,0.00093367
69,423.766,0.5615,0.73875,0.95135,0.81719,0.78058,0.85538,0.7349,0.54602,0.77428,0.9301,0.00093268,0.00093268,0.00093268
70,429.681,0.55866,0.70751,0.95381,0.77281,0.85988,0.87176,0.75068,0.53958,0.72847,0.9413,0.00093169,0.00093169,0.00093169
71,435.434,0.55462,0.6964,0.954,0.81606,0.80773,0.86571,0.75556,0.51416,0.75837,0.92495,0.0009307,0.0009307,0.0009307
72,441.221,0.55505,0.68264,0.94606,0.84012,0.80301,0.86888,0.76144,0.5194,0.72896,0.91369,0.00092971,0.00092971,0.00092971
73,446.975,0.56415,0.71176,0.97083,0.82237,0.80009,0.86435,0.7629,0.51227,0.73659,0.9052,0.00092872,0.00092872,0.00092872
74,452.722,0.55937,0.73896,0.96932,0.84131,0.72914,0.85098,0.7391,0.52928,0.74303,0.92379,0.00092773,0.00092773,0.00092773
75,458.436,0.54072,0.69133,0.94873,0.83416,0.77658,0.85558,0.74603,0.55859,0.74442,0.94993,0.00092674,0.00092674,0.00092674
76,464.21,0.53881,0.67027,0.94172,0.80484,0.75161,0.83926,0.72634,0.56222,0.77496,0.94496,0.00092575,0.00092575,0.00092575
77,469.94,0.54241,0.68529,0.95527,0.79476,0.76989,0.8425,0.73831,0.53838,0.77177,0.94266,0.00092476,0.00092476,0.00092476
78,475.683,0.55387,0.77664,0.95976,0.71585,0.79957,0.80283,0.69966,0.55069,0.87851,0.93802,0.00092377,0.00092377,0.00092377
79,481.42,0.54472,0.69544,0.94024,0.7725,0.816,0.83621,0.72431,0.5511,0.76445,0.94136,0.00092278,0.00092278,0.00092278
80,487.137,0.54231,0.69862,0.9399,0.82613,0.77798,0.8564,0.73365,0.56677,0.76314,0.95304,0.00092179,0.00092179,0.00092179
81,492.862,0.54913,0.69726,0.94873,0.8354,0.77949,0.86727,0.75893,0.52545,0.71237,0.92493,0.0009208,0.0009208,0.0009208
82,498.618,0.55825,0.7268,0.97569,0.86114,0.79261,0.88585,0.76714,0.52572,0.71618,0.93686,0.00091981,0.00091981,0.00091981
83,504.376,0.51116,0.66632,0.94132,0.8203,0.81394,0.86686,0.75402,0.53615,0.71038,0.93352,0.00091882,0.00091882,0.00091882
84,510.104,0.52602,0.64679,0.94496,0.79477,0.83366,0.88043,0.77237,0.51718,0.72753,0.92519,0.00091783,0.00091783,0.00091783
85,515.877,0.50293,0.66393,0.92365,0.81304,0.81178,0.85243,0.74849,0.5402,0.76234,0.94546,0.00091684,0.00091684,0.00091684
86,521.632,0.57199,0.71261,1.00085,0.73048,0.81052,0.80374,0.70643,0.53011,0.88978,0.94013,0.00091585,0.00091585,0.00091585
87,527.363,0.54234,0.663,0.95238,0.8246,0.81551,0.8643,0.75943,0.53163,0.73412,0.92067,0.00091486,0.00091486,0.00091486
88,533.089,0.50043,0.66052,0.93609,0.74498,0.81527,0.83016,0.73157,0.49638,0.83814,0.91031,0.00091387,0.00091387,0.00091387
89,538.831,0.52421,0.6644,0.94097,0.7788,0.72418,0.78691,0.68771,0.53396,0.82482,0.93354,0.00091288,0.00091288,0.00091288
90,544.565,0.54974,0.704,0.94798,0.76816,0.77484,0.82044,0.72433,0.53441,0.80458,0.93203,0.00091189,0.00091189,0.00091189
91,550.305,0.52837,0.65641,0.93571,0.7992,0.73574,0.84488,0.7451,0.52577,0.78165,0.93307,0.0009109,0.0009109,0.0009109
92,556.038,0.54332,0.66735,0.94574,0.77609,0.74585,0.84089,0.72719,0.55209,0.80994,0.94947,0.00090991,0.00090991,0.00090991
93,561.79,0.53658,0.67065,0.95338,0.85301,0.75568,0.86832,0.7585,0.53508,0.7216,0.94005,0.00090892,0.00090892,0.00090892
94,567.578,0.51158,0.61513,0.93265,0.84961,0.78751,0.86599,0.75578,0.54573,0.7168,0.93498,0.00090793,0.00090793,0.00090793
95,573.279,0.51049,0.62199,0.93583,0.77686,0.85018,0.86674,0.75703,0.53666,0.71509,0.91257,0.00090694,0.00090694,0.00090694
96,579.008,0.53017,0.65478,0.94009,0.85759,0.73146,0.86158,0.75379,0.53595,0.72095,0.91393,0.00090595,0.00090595,0.00090595
97,584.76,0.53765,0.70543,0.9453,0.75247,0.80629,0.83356,0.73129,0.52269,0.76079,0.91,0.00090496,0.00090496,0.00090496
98,590.53,0.50775,0.65143,0.93892,0.72388,0.80326,0.80174,0.70176,0.54563,0.84028,0.93939,0.00090397,0.00090397,0.00090397
99,596.27,0.51174,0.63674,0.93666,0.818,0.76627,0.84499,0.7404,0.50918,0.73758,0.91845,0.00090298,0.00090298,0.00090298
100,602.019,0.51846,0.62802,0.95706,0.80443,0.82711,0.86091,0.7526,0.51481,0.72394,0.91658,0.00090199,0.00090199,0.00090199
101,607.75,0.50704,0.59247,0.9402,0.75128,0.825,0.86621,0.76276,0.50782,0.76851,0.89716,0.000901,0.000901,0.000901
102,613.524,0.51134,0.59527,0.94472,0.7959,0.84268,0.87138,0.75558,0.53793,0.69298,0.93164,0.00090001,0.00090001,0.00090001
103,619.26,0.54075,0.6555,0.95321,0.84862,0.77088,0.86315,0.76105,0.5179,0.71829,0.9284,0.00089902,0.00089902,0.00089902
104,625.015,0.52149,0.63012,0.94316,0.81165,0.80072,0.86343,0.74648,0.53507,0.74185,0.94493,0.00089803,0.00089803,0.00089803
105,630.761,0.52617,0.70578,0.93475,0.83045,0.79928,0.88402,0.78537,0.52879,0.66462,0.92727,0.00089704,0.00089704,0.00089704
106,636.512,0.53314,0.63685,0.93948,0.8489,0.76325,0.86358,0.75931,0.52313,0.7542,0.93527,0.00089605,0.00089605,0.00089605
107,642.235,0.52205,0.60423,0.93945,0.79344,0.79134,0.863,0.74695,0.53219,0.7076,0.93804,0.00089506,0.00089506,0.00089506
108,647.979,0.52082,0.60933,0.94039,0.81544,0.78103,0.85911,0.74483,0.53378,0.7528,0.93489,0.00089407,0.00089407,0.00089407
109,653.703,0.49543,0.57109,0.91998,0.85628,0.74932,0.86773,0.74424,0.55407,0.73473,0.95953,0.00089308,0.00089308,0.00089308
110,659.517,0.51777,0.6101,0.9357,0.81166,0.79432,0.84214,0.72578,0.55064,0.76124,0.95335,0.00089209,0.00089209,0.00089209
111,665.355,0.50816,0.63293,0.92814,0.73307,0.79763,0.84506,0.74414,0.538,0.73557,0.93915,0.0008911,0.0008911,0.0008911
112,671.087,0.50002,0.60235,0.92508,0.77008,0.8268,0.87244,0.76124,0.53072,0.7002,0.94652,0.00089011,0.00089011,0.00089011
113,676.866,0.51435,0.66888,0.95833,0.84462,0.76712,0.87354,0.7626,0.55893,0.71229,0.95822,0.00088912,0.00088912,0.00088912
114,682.59,0.52035,0.60238,0.94727,0.70751,0.84254,0.86065,0.76429,0.51978,0.72615,0.94091,0.00088813,0.00088813,0.00088813
115,688.39,0.49098,0.57247,0.936,0.78376,0.83613,0.86859,0.75595,0.55416,0.68976,0.96303,0.00088714,0.00088714,0.00088714
116,694.148,0.4988,0.60804,0.93746,0.8074,0.77399,0.84596,0.72593,0.54335,0.76857,0.95629,0.00088615,0.00088615,0.00088615
117,699.872,0.50843,0.58313,0.94086,0.80893,0.8047,0.85204,0.73604,0.54359,0.77882,0.94605,0.00088516,0.00088516,0.00088516
118,705.628,0.49346,0.60791,0.92257,0.76218,0.80236,0.83456,0.72355,0.52259,0.80834,0.93347,0.00088417,0.00088417,0.00088417
119,711.377,0.49358,0.56405,0.92886,0.84143,0.84714,0.87712,0.7704,0.51691,0.68052,0.93524,0.00088318,0.00088318,0.00088318
120,717.094,0.52881,0.62313,0.95188,0.75866,0.8403,0.87059,0.75917,0.52869,0.72549,0.93334,0.00088219,0.00088219,0.00088219
121,722.882,0.5188,0.6155,0.94283,0.78869,0.80951,0.85681,0.75689,0.53783,0.761,0.96438,0.0008812,0.0008812,0.0008812
122,728.758,0.52402,0.65202,0.95758,0.79877,0.76343,0.83686,0.73931,0.53014,0.74827,0.94537,0.00088021,0.00088021,0.00088021
123,734.528,0.50062,0.5909,0.94125,0.83198,0.78292,0.86963,0.76419,0.51788,0.68269,0.93819,0.00087922,0.00087922,0.00087922
124,740.288,0.5008,0.61945,0.93756,0.85214,0.80514,0.87658,0.76836,0.52249,0.71222,0.92678,0.00087823,0.00087823,0.00087823
125,746.032,0.50651,0.60436,0.93296,0.7461,0.82115,0.87469,0.75779,0.54941,0.7294,0.95378,0.00087724,0.00087724,0.00087724
126,751.77,0.49019,0.55736,0.92376,0.77366,0.82764,0.87444,0.76238,0.52965,0.73275,0.95389,0.00087625,0.00087625,0.00087625
127,757.543,0.49141,0.56543,0.92952,0.85681,0.76997,0.88611,0.77599,0.52967,0.67945,0.94138,0.00087526,0.00087526,0.00087526
128,763.299,0.52153,0.60261,0.95265,0.81821,0.77837,0.87362,0.7673,0.51497,0.66338,0.93804,0.00087427,0.00087427,0.00087427
129,769.056,0.51113,0.60355,0.9447,0.78258,0.86426,0.88063,0.7696,0.54581,0.67862,0.96189,0.00087328,0.00087328,0.00087328
130,774.778,0.49419,0.57828,0.93741,0.77151,0.78688,0.85584,0.74396,0.54244,0.78998,0.96295,0.00087229,0.00087229,0.00087229
